九州行程規劃 — 預算匯出
匯出時間,2026/06/11 下午11:05
行程,Fukuoka & Beyond
日期,"June 4 – 9, 2026"

摘要
項目,數值
本國貨幣,HKD
匯率（1 日圓 → HKD）,0.048810
匯率日期,2026-06-11
匯率來源,即時（Frankfurter / open.er-api）
預算輸入單位,HKD
總預算（日圓）,609756
總預算（HKD）,29762.19
已支出（日圓）,393912
已支出（HKD）,19226.85
剩餘（日圓）,215844
剩餘（HKD）,10535.34
預算使用率,64.6%
支出筆數,40

支出明細
序號,日期時間,說明,類別（顯示）,類別（代碼）,金額（日圓）,金額（HKD）,項目 ID
1,2026/05/13 下午06:00,福岡天然温泉博多運河城前多米高級酒店,住宿,Hotel,17186,838.85,exp-default-onsen-hotel
2,2026/05/13 下午06:30,flight ticket + Hotel Trad Hakata,住宿,Hotel,221839,10827.96,exp-default-flight-trad
3,2026/06/04 下午04:34,Bus from hotel to beppa,交通,Transit,6500,317.27,1780562098648-zug8vpu
4,2026/06/04 下午05:07,JR from yufurin to hakata,交通,Transit,6600,322.15,1780564036389-1lkgu2t
5,2026/06/04 下午05:33,Hotel Hakata tax,住宿,Hotel,1600,78.1,1780565593950-o8cco8r
6,2026/06/04 下午06:59,"1st day dinner, ramen",美食,Food,1900,92.74,1780570751710-d1kh1r5
7,2026/06/04 下午07:50,Family mart,其他,Other,1500,73.22,1780573800152-qohle09
8,2026/06/04 下午08:01,1st day 2nd dinner,美食,Food,3597,175.57,1780574498706-jzok8eg
9,2026/06/05 上午07:25,Day2 breakfast,美食,Food,3010,146.92,1780615515241-5r2b2v0
10,2026/06/05 下午02:07,Entry fee of 地獄,其他,Other,4000,195.24,1780639672602-1fi2my6
11,2026/06/05 下午03:35,Lawson,美食,Food,316,15.42,1780644918194-55j1uld
12,2026/06/05 下午03:35,Bus to yufurin,交通,Transit,2100,102.5,1780644943065-rnwghgx
13,2026/06/05 下午05:27,JR from yufurin back hakata,交通,Transit,3600,175.72,1780651624628-gz5zgg0
14,2026/06/05 下午05:27,Dinner at yufurin,美食,Food,6000,292.86,1780651645176-d8n79wj
15,2026/06/05 下午09:51,Day 2 dinner at hakata,美食,Food,2400,117.14,1780667502497-w1legqj
16,2026/06/05 下午10:26,Drug store,其他,Other,986,48.13,1780669566103-hz3k7zb
17,2026/06/06 上午10:04,Seven,美食,Food,300,14.64,1780711450453-3nt6jny
18,2026/06/06 上午11:43,Omakase,美食,Food,22330,1089.93,1780717390939-w08sny1
19,2026/06/06 下午12:59,天神地下街 tart,美食,Food,620,30.26,1780721950433-12z3gjg
20,2026/06/06 下午03:44,Strawberry parfeit,美食,Food,2830,138.13,1780731891009-6mgbpol
21,2026/06/06 下午06:46,Day 3 dinner,美食,Food,5780,282.12,1780742773087-fbenb7s
22,2026/06/06 下午07:44,Supermarket,美食,Food,2000,97.62,1780746285366-svbwco6
23,2026/06/07 上午09:56,Day 4 breakfast,美食,Food,2550,124.47,1780797384310-g0b83gb
24,2026/06/07 上午10:45,Boat to park,交通,Transit,2600,126.91,1780800323147-y3iptho
25,2026/06/07 下午05:48,Day 4 dinner steak,美食,Food,5295,258.45,1780825739249-8vcdkwh
26,2026/06/07 下午07:50,Wego clothes,購物,Shopping,21501,1049.46,1780833056050-15eem3i
27,2026/06/07 下午08:32,Med,其他,Other,1788,87.27,1780835572660-e4qjnef
28,2026/06/08 上午10:26,day 5 lunch,美食,Food,3520,171.81,1780885608675-841ayfx
29,2026/06/08 下午02:53,bus,交通,Transit,2100,102.5,1780901637747-h72nrlg
30,2026/06/08 下午02:54,Bus,交通,Transit,2200,107.38,1780901643916-sczcbl0
31,2026/06/08 下午04:02,sushiro,美食,Food,5390,263.09,1780905765876-lvzvpod
32,2026/06/08 下午04:13,Souvenir- sweet potato,購物,Shopping,1840,89.81,1780906405950-9huna2v
33,2026/06/08 下午04:51,Souvenir - 蝦餅,購物,Shopping,1721,84,1780908689125-ddp7q27
34,2026/06/08 下午07:24,烤魚 + don,美食,Food,10140,494.93,1780917852632-39klfjd
35,2026/06/08 下午07:33,Souvenir- totoro,購物,Shopping,935,45.64,1780918434554-b9wpd2k
36,2026/06/08 下午07:47,Souvenir- 唐shop,購物,Shopping,2107,102.84,1780919243200-3vmqjj0
37,2026/06/09 上午10:13,FUK coffee,美食,Food,1240,60.52,1780971231262-ni0taj2
38,2026/06/09 下午12:15,漢堡排,美食,Food,5907,288.32,1780978539285-mb7bf6t
39,2026/06/09 下午12:41,souvenir - 明太子,購物,Shopping,2484,121.24,1780980098744-zxs4m5e
40,2026/06/09 下午12:49,souvenir - 明太子2,購物,Shopping,3600,175.72,1780980554931-1az8h00

支出合計
項目,數值
支出筆數,40
支出合計（日圓）,393912
支出合計（HKD）,19226.85
